"","countyurl","benev","comp","county_en","prefecture_en","province_en","county_cn","prefecture_cn","cntygb00","macroregion","countytype","linksall","linksint","links_chtxt","links_include","X2009_gdppc_cny","X2010_illiterateprop","sec_2011","mayor_gender","mayor_birth","mayor_2011","mayor_tenure2","mayor_edulevel","mayor_status","pref_ps_2011","pref_ps_edulevel","pref_2010_gdppc","itemploy","county_mediaexp","mayor_first","mayor_last","sec_first","sec_last","pref_ps_first","pref_ps_last","mayor_age","mayor_promote"
"36","www.longnan.gov.cn",0.213483146067416,0.348314606741573,"Wudu","Longnan","Gansu","武都区","陇南市",622621,"West","District",45981,45257,979,1,20257.77778,23.42000008,1,"M",1963,2,2,4,"in office",2,2,6457,98,79105.72641,0,0,1,0,0,0,48,0
"37","www.luoshan.gov.cn",0.0149253731343284,0.0149253731343284,"Luoshan","Xinyang","Henan","罗山县","信阳市",411521,"Central","County",9055,7848,134,1,10226.31579,8.029999733,3,"M",NA,2,4,3,"in office",1,3,16936,38,23406.25361,0,0,0,1,1,0,NA,0
"38","www.lygcl.gov.cn",0.0730769230769231,0.0336538461538462,"Gongchangling","Liaoyang","Liaoning","弓长岭区","辽阳市",211005,"East","District",1595,1571,1040,1,30063.29114,0.99000001,1,"M",1960,1,1,NA,"in office",2,3,39686,30,14285.8112,1,0,1,0,0,0,51,0
"39","www.lylc.gov.cn",0.417270531400966,0.0984299516908213,"Laocheng","Luoyang","Henan","老城区","洛阳市",410302,"Central","District",2506,2373,1656,1,103434.6154,2.089999914,2,"M",NA,2,2,4,"in office",2,4,35762,130,40495.64966,0,0,0,0,0,0,NA,0
"40","www.mabian.gov.cn",0.658316633266533,0.0971943887775551,"Mabian","Leshan","Sichuan","马边彝族自治县","乐山市",511133,"West","County",21881,21666,998,1,8150,22.59000015,3,"M",1963,2,2,3,"in office",2,3,22990,13,5264.08975,0,0,0,1,0,0,48,0
"41","www.mudan.gov.cn",0.658316633266533,0.0971943887775551,"Mudan","Heze","Shandong","牡丹区","菏泽市",371702,"East","District",34419,33335,998,1,9379.562044,9.899999619,1,"M",1964,1,1,3,"in office",2,3,14841,278,26687.84187,1,0,1,0,0,0,47,0
"42","www.naxi.gov.cn",0.0602409638554217,0.036144578313253,"Naxi","Luzhou","Sichuan","纳溪区","泸州市",510503,"West","District",12533,12220,166,1,12768.08511,4.150000095,3,"M",1962,2,3,3,"promotion",3,4,16698,89,19380.24699,0,0,0,1,0,1,49,1
"43","www.penglai.gov.cn",0.0740203193033382,0.687953555878084,"Penglai","Yantai","Shandong","蓬莱市","烟台市",370684,"East","County",22802,21293,688,1,71811.11111,2.369999886,1,"M",1965,1,1,5,"in office",1,4,62254,87,67114.21089,1,0,1,0,1,0,46,0
"44","www.ptq.sh.gov.cn",0.119477911646586,0.0632530120481928,"Putuo","Shanghai","Shanghai","普陀区","上海市辖区",310107,"East","District",35671,18048,996,1,57967.89578,1.629999995,3,"M",1955,2,3,3,"retired_demoted",2,4,76074,2528,175952.0999,0,0,0,1,0,0,56,0
"45","www.puning.gov.cn",0.0694444444444444,0.416666666666667,"Puning","Jieyang","Guangdong","普宁市","揭阳市",445281,"East","County",4339,3622,576,1,10764.62766,1.440000057,2,"M",1959,2,6,NA,"promotion",3,0,17373,133,68582.71634,0,0,0,0,0,1,52,1
